;;;;;;Min;;;;;;;
4 297;11573,1;12692,95;12889,32;12371,14;;;;;;;;;
4 299;11492,68;12410,95;12715,89;12066,15;;;;;;;;;
4 139;11134,78;12273,63;12618,95;11200,22;;;;;;;;;
4 238;10363,35;12111,34;12151,24;9331,9;;;;;;;;;
4 621;9538,64;11769,02;11445,33;7798,38;;;;;;;;;
4 935;8957,08;10815,18;10259,59;6653,94;;;;;;;;;
5 532;8149,53;9339,96;8944,46;5645,65;;;;;;;;;
6 192;7128,94;7898,1;7651,29;4881,31;;;;;;;;;
6 579;6682,08;7078,26;7140,26;4589,69;;;;;;;;;
6 863;6335,49;6839,72;6987,37;4561,87;;;;;;;;;
6 902;6300,72;6890,37;6855,94;4601,92;;;;;;;;;
6 801;6156,62;7258,47;6884,99;4811,22;;;;;;;;;
6 849;6407,47;8433,52;7969,31;6275,17;;;;;;;;;
7 343;6810,05;11189,23;10683,01;8123,29;;;;;;;;;
7 805;7933,91;12686,22;12117,54;10706,45;;;;;;;;;
7 764;8739,55;12792,26;12033,46;11094,83;;;;;;;;;
7 719;9617,97;12661,54;12030,43;10907,77;;;;;;;;;
7 341;10023,85;12672,02;12369,57;10649,62;;;;;;;;;
6 781;9939,16;12728,43;12399,29;10016,1;;;;;;;;;
6 496;9660,78;12743,72;12556,25;9525,55;;;;;;;;;
5 429;9514,28;12746,71;12467,51;9516,75;;;;;;;;;
4 579;9738,77;12785,56;12641,82;9411,76;;;;;;;;;
3 907;10069,64;12854,83;12662,61;9772,69;;;;;;;;;
3 783;10738,85;12890,78;12834,2;9956,32;;;;;;;;;
3 782;11454,67;13012,25;12949,19;10201,63;;;;;;;;;
3 800;11379,24;12963,03;12440,79;9856,85;;;;;;;;;
4 196;11008,7;12912,22;11584,33;8752,81;;;;;;;;;
5 007;10335,7;12557,54;10751,66;7209,44;;;;;;;;;
6 836;9708,33;12127,99;9996,57;6341,18;;;;;;;;;
9 149;8721,75;11342,25;8784,22;5386,26;;;;;;;;;
9 655;7949,22;9999,16;7841,89;4644,6;;;;;;;;;
9 315;6961,56;8236,43;7101,73;4383,17;;;;;;;;;
9 258;6770,18;7396,85;6441,64;4196,99;;;;;;;;;
9 703;6723,12;7262,78;6360,22;4186,6;;;;;;;;;
9 565;6857,04;7319,2;6320,76;4233,51;;;;;;;;;
9 421;7091,57;7511,49;6656,29;4445,17;;;;;;;;;
9 410;7988,71;9001,37;7830,67;5636,62;;;;;;;;;
9 663;9659,69;11380,52;9896,15;7075,95;;;;;;;;;
10 073;11708,8;12528,96;11250,86;9041,27;;;;;;;;;
10 420;11940,63;12843,09;11699,73;9620,75;;;;;;;;;
10 153;11682,81;12922,5;11731,75;9266,93;;;;;;;;;
9 455;11631,44;12651,89;11631,17;9593,11;;;;;;;;;
8 496;11389,31;12236,57;11590,19;9601,71;;;;;;;;;
8 145;11115,23;12042,66;11457,31;9780,78;;;;;;;;;
7 104;10923,4;12129,92;11359,98;9427,8;;;;;;;;;
5 773;10846,49;12683,07;11218,53;9426,34;;;;;;;;;
4 278;10911,79;13115,73;11382,27;9611,46;;;;;;;;;
4 065;11247,54;13333,15;11635,27;9979,19;;;;;;;;;
4 118;11781,67;13242,27;11664,56;10229,64;;;;;;;;;
4 106;11648,25;13272,64;11442,61;10127,4;;;;;;;;;
4 202;11334,59;13038,67;11197,84;9660,71;;;;;;;;;
4 838;10603,22;12667,17;10434,96;8805,41;;;;;;;;;
7 003;10033,06;12023,52;9709,77;7790,64;;;;;;;;;
8 945;9398,29;10866,23;8841,83;6834,34;;;;;;;;;
9 751;8308,52;9469,96;7921,37;5744,74;;;;;;;;;
9 718;7363,24;7759,23;7028,61;5021,71;;;;;;;;;
9 672;6978,01;7416,92;6503,64;4643,41;;;;;;;;;
9 399;6927,76;7284,92;6402,71;4619,59;;;;;;;;;
9 239;6893,74;7404,65;6426,14;4591,91;;;;;;;;;
9 284;7061,66;7599,08;6602,71;4532,8;;;;;;;;;
9 336;8025,92;8410,77;7642,49;4742,38;;;;;;;;;
9 633;9698;10631,44;10047,9;5199,45;;;;;;;;;
9 796;11219,79;12564,67;12157,5;5764,32;;;;;;;;;
9 943;11575,05;12602,83;12674,25;6634,99;;;;;;;;;
9 861;11587,83;12269,33;12725,03;7450,04;;;;;;;;;
9 342;11649,07;12282,33;12658,43;8050,83;;;;;;;;;
8 462;11624,09;12345,08;12695,52;8109,28;;;;;;;;;
8 022;11348,71;12477,08;12462,97;7963,02;;;;;;;;;
6 726;11311,73;12436,33;11917,48;8166,26;;;;;;;;;
5 612;11267,63;12427,34;11498,9;8284,34;;;;;;;;;
4 912;11204,28;12430,48;11454,12;8389,33;;;;;;;;;
4 729;11754,91;12313,84;12035,05;8953,37;;;;;;;;;
4 750;12055,39;12766,35;12171,13;9435,04;;;;;;;;;
4 786;11652,99;12946,6;11951,52;8974,42;;;;;;;;;
4 837;11244,44;12496,09;11140,94;8052,47;;;;;;;;;
5 546;10603,52;11965,15;10489,01;6914,08;;;;;;;;;
7 924;9845,82;11333,43;9762,48;6019,28;;;;;;;;;
9 756;8966,63;10154,08;8753,64;5394,85;;;;;;;;;
10 356;8126,6;8398,46;8331,54;4533,64;;;;;;;;;
10 288;6994,69;7799,96;7572,29;4024,48;;;;;;;;;
10 399;6683,26;7318,33;7188,04;3926,3;;;;;;;;;
10 161;6650,53;7297,43;6743,73;3774,07;;;;;;;;;
9 959;6656,74;7328,15;6393,98;3807,97;;;;;;;;;
9 865;6852,52;7589,37;6460,9;3732,14;;;;;;;;;
9 839;7801,52;8775,21;6611,95;3855,39;;;;;;;;;
9 949;9791,62;10921,02;7278,6;4125,41;;;;;;;;;
10 231;11344,86;12571,26;8425,92;4460,42;;;;;;;;;
10 432;11564,24;12909,18;9551,52;5310,2;;;;;;;;;
10 790;11052,41;13001,42;10481;6047,93;;;;;;;;;
10 466;10992,86;12944,9;10912,95;6914,8;;;;;;;;;
